Vd,Vg,Id,
3.1,-0.9,0.0002867,-4.06E-008
3.1,-0.8,0.001532,-4.45E-008
3.1,-0.7,0.004433,-0.000000042
3.1,-0.6,0.008807,-3.22E-008
3.1,-0.5,0.01409,-1.98E-008
3.1,-0.4,0.01968,-9.4E-009
3.1,-0.3,0.02533,-4.18E-009
3.1,-0.2,0.03093,-1.47E-009
3.1,-0.1,0.0366,-1.13E-009
3.1,0,0.04228,-9.47E-010
3.2,-1.8,0.000000104,-0.000000116
3.2,-1.7,9.21E-008,-9.89E-008
3.2,-1.6,8.22E-008,-8.78E-008
3.2,-1.5,7.48E-008,-7.79E-008
3.2,-1.4,6.68E-008,-6.99E-008
3.2,-1.3,6.63E-008,-6.18E-008
3.2,-1.2,0.000000151,-0.000000054
3.2,-1.1,0.00000202,-4.66E-008
3.2,-1,0.0000312,-4.31E-008
3.2,-0.9,0.0003276,-4.55E-008
3.2,-0.8,0.001612,-5.01E-008
3.2,-0.7,0.004569,-4.76E-008
3.2,-0.6,0.008993,-0.000000037
3.2,-0.5,0.01426,-2.29E-008
3.2,-0.4,0.01981,-1.15E-008
3.2,-0.3,0.02544,-4.45E-009
